dataset,ablation,seed,node_f1,edge_auroc,subgraph_f1,explanation_fidelity,stability,completeness,latency_seconds
streamspot,minus_temporal_attention,11,0.6605293440736478,0.516688,0.75,0.003819836769253,1.0,1.0,0.0209866925001733
streamspot,minus_temporal_attention,22,0.6613272311212814,0.3764479999999999,0.8888888888888888,0.0094004645943641,1.0,0.9999905824661256,0.0735770145001879
streamspot,minus_temporal_attention,33,0.6597938144329897,0.5160800000000001,0.8888888888888888,0.0,1.0,0.9999910593032836,0.0206669739995959
streamspot,minus_temporal_attention,44,0.6638054363376252,0.506576,0.7272727272727273,0.0010988094145432,1.0,0.9999960064888,0.0159403655002279
streamspot,minus_temporal_attention,55,0.662883087400681,0.453792,0.6,0.0145184556022286,1.0,0.9999991655349731,0.0199256749997402
streamspot,minus_temporal_attention,66,0.662883087400681,0.5343519999999999,0.7272727272727273,0.0,1.0,1.0,0.0196354610002345
streamspot,minus_temporal_attention,77,0.662883087400681,0.529968,0.0,0.0091661307960748,1.0,1.0,0.0215088690001721
streamspot,minus_temporal_attention,88,0.6628571428571428,0.5130240000000001,0.8888888888888888,0.0089505389332771,1.0,0.9999997615814208,0.0197342639999078
streamspot,minus_temporal_attention,99,0.662883087400681,0.4120639999999999,0.6666666666666666,0.0036060244310647,1.0,0.9999984502792358,0.0185789499996644
streamspot,minus_temporal_attention,110,0.6605293440736478,0.55608,0.6666666666666666,0.0123095586895942,1.0,1.0,0.0192926640002042
streamspot,minus_gating_mechanism,11,0.6698564593301436,0.4497759999999999,0.8,0.0044010062702,1.0,1.0,0.0187531205001505
streamspot,minus_gating_mechanism,22,0.6706586826347305,0.361472,0.6153846153846154,0.0,1.0,0.9999969601631165,0.0188174054997034
streamspot,minus_gating_mechanism,33,0.6509803921568628,0.6360959999999999,0.7272727272727273,0.0049655879847705,1.0,1.0,0.0183058594998328
streamspot,minus_gating_mechanism,44,0.6600846262341326,0.577712,0.6,0.0,1.0,0.9999819993972778,0.0160226919997512
streamspot,minus_gating_mechanism,55,0.6613272311212814,0.425856,0.5,0.0071823648177087,1.0,0.9999988675117492,0.0189780565001456
